"Date","MinDO","Location","TimeStamp"
2017-09-22,6.52,"Upstream1","After"
2017-09-23,6.42667,"Upstream1","After"
2017-09-24,6.41,"Upstream1","After"
2017-09-25,6.35667,"Upstream1","After"
2017-09-26,6.24333,"Upstream1","After"
2017-09-27,6.37333,"Upstream1","After"
2017-09-28,5.92,"Upstream1","After"
2017-09-29,5.87,"Upstream1","After"
2017-09-30,6.45333,"Upstream1","After"
2017-10-01,6.91667,"Upstream1","After"
2017-10-02,7.04333,"Upstream1","After"
2017-10-03,7.08333,"Upstream1","After"
2017-10-04,7.1,"Upstream1","After"
2017-10-05,6.97333,"Upstream1","After"
2017-10-06,6.99333,"Upstream1","After"
2017-10-07,6.92667,"Upstream1","After"
2017-10-08,6.65667,"Upstream1","After"
2017-10-09,6.61,"Upstream1","After"
2017-10-10,6.25,"Upstream1","After"
2017-10-11,6.41333,"Upstream1","After"
2017-10-12,6.38,"Upstream1","After"
2017-10-13,6.59667,"Upstream1","After"
2017-10-14,6.64667,"Upstream1","After"
2017-10-15,6.77667,"Upstream1","After"
2017-10-16,6.57,"Upstream1","After"
2017-10-17,6.76,"Upstream1","After"
2017-10-18,7.32667,"Upstream1","After"
2017-10-19,7.27667,"Upstream1","After"
2017-10-20,7.17,"Upstream1","After"
2017-10-21,7.08333,"Upstream1","After"
2017-10-22,7.04667,"Upstream1","After"
2017-10-23,7.24,"Upstream1","After"
2017-10-24,7.37667,"Upstream1","After"
2017-10-25,7.24333,"Upstream1","After"
2017-10-26,7.34333,"Upstream1","After"
2017-10-27,7.47667,"Upstream1","After"
2017-10-28,7.4,"Upstream1","After"
2017-10-29,7.52,"Upstream1","After"
2017-10-30,7.75,"Upstream1","After"
2017-10-31,7.87667,"Upstream1","After"
2017-11-01,7.64,"Upstream1","After"
2017-11-02,7.35,"Upstream1","After"
2017-11-03,7.74667,"Upstream1","After"
2017-11-04,7.55,"Upstream1","After"
2017-11-05,7.68333,"Upstream1","After"
2017-11-06,7.51333,"Upstream1","After"
2017-11-07,7.28,"Upstream1","After"
2017-11-08,7.29667,"Upstream1","After"
2017-11-09,6.78333,"Upstream1","After"
2017-11-10,7.18333,"Upstream1","After"
2017-11-11,7.00667,"Upstream1","After"
2017-11-12,8.51333,"Upstream1","After"
2017-11-13,8.20333,"Upstream1","After"
2017-11-14,8.52667,"Upstream1","After"
2017-11-15,7.94667,"Upstream1","After"
2017-11-16,8.03,"Upstream1","After"
