"Date","MinDO","Location","TimeStamp"
2013-12-14,10.9867,"Upstream1","Before"
2013-12-15,10.6433,"Upstream1","Before"
2013-12-16,10.42,"Upstream1","Before"
2013-12-17,10.59,"Upstream1","Before"
2013-12-18,10.4633,"Upstream1","Before"
2013-12-19,10.7233,"Upstream1","Before"
2013-12-20,10.5767,"Upstream1","Before"
2013-12-21,10.24,"Upstream1","Before"
2013-12-22,9.74,"Upstream1","Before"
2013-12-23,8.79667,"Upstream1","Before"
2013-12-24,9.13333,"Upstream1","Before"
2013-12-25,10.4733,"Upstream1","Before"
2013-12-26,10.8567,"Upstream1","Before"
2013-12-27,10.6767,"Upstream1","Before"
2013-12-28,10.7033,"Upstream1","Before"
2013-12-29,10.21,"Upstream1","Before"
2013-12-30,10.19,"Upstream1","Before"
2013-12-31,11.3533,"Upstream1","Before"
2014-01-01,11.7467,"Upstream1","Before"
2014-01-02,11.7967,"Upstream1","Before"
2014-01-03,11.7667,"Upstream1","Before"
2014-01-04,12.2667,"Upstream1","Before"
2014-01-05,12.2733,"Upstream1","Before"
2014-01-06,11.83,"Upstream1","Before"
2014-01-07,11.8333,"Upstream1","Before"
2014-01-08,12.3567,"Upstream1","Before"
2014-01-09,6.38,"Upstream1","Before"
2014-01-10,0,"Upstream1","Before"
2014-01-11,4.5,"Upstream1","Before"
2014-01-12,0.00666667,"Upstream1","Before"
2014-01-13,0,"Upstream1","Before"
2014-01-14,12.1067,"Upstream1","Before"
2014-01-15,12.2767,"Upstream1","Before"
2014-01-16,12.4067,"Upstream1","Before"
2014-01-17,12.5133,"Upstream1","Before"
2014-01-18,12.52,"Upstream1","Before"
2014-01-19,12.65,"Upstream1","Before"
2014-01-20,12.6667,"Upstream1","Before"
2014-01-21,12.5133,"Upstream1","Before"
2014-01-22,10.6567,"Upstream1","Before"
2014-01-23,0.03,"Upstream1","Before"
2014-01-24,11.1667,"Upstream1","Before"
2014-01-25,10.9533,"Upstream1","Before"
2014-01-26,11.5433,"Upstream1","Before"
2014-01-27,12.16,"Upstream1","Before"
2014-01-28,11.9367,"Upstream1","Before"
2014-01-29,12.4767,"Upstream1","Before"
2014-01-30,12.6367,"Upstream1","Before"
2014-01-31,12.7167,"Upstream1","Before"
2014-02-01,12.5667,"Upstream1","Before"
2014-02-02,12.3033,"Upstream1","Before"
2014-02-03,12.0633,"Upstream1","Before"
2014-02-04,12.0067,"Upstream1","Before"
2014-02-05,11.97,"Upstream1","Before"
2014-02-06,12.2133,"Upstream1","Before"
2014-02-07,12.4067,"Upstream1","Before"
2014-02-08,12.13,"Upstream1","Before"
2014-02-09,12.08,"Upstream1","Before"
2014-02-10,11.97,"Upstream1","Before"
2014-02-11,12.4633,"Upstream1","Before"
2014-02-12,12.6367,"Upstream1","Before"
2014-02-13,12.53,"Upstream1","Before"
2014-02-14,12.55,"Upstream1","Before"
2014-02-15,12.5433,"Upstream1","Before"
2014-02-16,12.6867,"Upstream1","Before"
2014-02-17,12.7333,"Upstream1","Before"
2014-02-18,12.7567,"Upstream1","Before"
2014-02-19,13.2367,"Upstream1","Before"
2014-02-20,13.2167,"Upstream1","Before"
2014-02-21,12.6167,"Upstream1","Before"
2014-02-22,12.7167,"Upstream1","Before"
2014-02-23,12.62,"Upstream1","Before"
2014-02-24,12.5867,"Upstream1","Before"
2014-02-25,12.6367,"Upstream1","Before"
2014-02-26,11.8667,"Upstream1","Before"
2014-02-27,11.61,"Upstream1","Before"
2014-02-28,11.4367,"Upstream1","Before"
2014-03-01,11.3933,"Upstream1","Before"
2014-03-02,11.13,"Upstream1","Before"
2014-03-03,11.07,"Upstream1","Before"
2014-03-04,11.4067,"Upstream1","Before"
2014-03-05,11.0633,"Upstream1","Before"
2014-03-06,10.9,"Upstream1","Before"
2014-03-07,11.8833,"Upstream1","Before"
2014-03-08,11.7967,"Upstream1","Before"
2014-03-09,11.73,"Upstream1","Before"
2014-03-10,11.74,"Upstream1","Before"
2014-03-11,12.3967,"Upstream1","Before"
2014-03-12,12.2433,"Upstream1","Before"
2014-03-13,12.23,"Upstream1","Before"
2014-03-14,12.5233,"Upstream1","Before"
2014-03-15,12.3967,"Upstream1","Before"
2014-03-16,12.3033,"Upstream1","Before"
2014-03-17,12.29,"Upstream1","Before"
2014-03-18,12.3467,"Upstream1","Before"
2014-03-19,12.3467,"Upstream1","Before"
