"Date","AvgDO","Site","TimeStamp","Location"
2013-10-12,6.91444427083333,"Downstream1","Before","Downstream"
2013-10-13,3.73611104166667,"Downstream1","Before","Downstream"
2013-10-14,1.05520815625,"Downstream1","Before","Downstream"
2013-10-15,0.228576375,"Downstream1","Before","Downstream"
2013-10-16,0.0846875020833333,"Downstream1","Before","Downstream"
2013-10-17,0.0111458326041667,"Downstream1","Before","Downstream"
2013-10-19,4.11809020833333,"Downstream1","Before","Downstream"
2013-10-20,8.58694458333333,"Downstream1","Before","Downstream"
2013-10-21,8.7964934375,"Downstream1","Before","Downstream"
2013-10-22,8.91315958333333,"Downstream1","Before","Downstream"
2013-10-23,8.96111166666667,"Downstream1","Before","Downstream"
2013-10-24,9.10128479166667,"Downstream1","Before","Downstream"
2013-10-25,9.30055604166667,"Downstream1","Before","Downstream"
2013-10-26,9.61829875,"Downstream1","Before","Downstream"
2013-10-27,9.67234322916667,"Downstream1","Before","Downstream"
2013-10-28,9.88586708333333,"Downstream1","Before","Downstream"
2013-10-29,9.89583510416667,"Downstream1","Before","Downstream"
2013-10-30,9.68854135416667,"Downstream1","Before","Downstream"
2013-10-31,9.4522225,"Downstream1","Before","Downstream"
2013-11-01,9.084131875,"Downstream1","Before","Downstream"
2013-11-02,8.75618072916667,"Downstream1","Before","Downstream"
2013-11-03,8.45934,"Downstream1","Before","Downstream"
2013-11-04,8.915243125,"Downstream1","Before","Downstream"
2013-11-05,9.60399416666667,"Downstream1","Before","Downstream"
2013-11-06,9.99996697916667,"Downstream1","Before","Downstream"
2013-11-07,9.84767427083333,"Downstream1","Before","Downstream"
2013-11-08,9.75794958333333,"Downstream1","Before","Downstream"
2013-11-09,9.74423333333333,"Downstream1","Before","Downstream"
2013-11-10,9.89854260416667,"Downstream1","Before","Downstream"
2013-11-11,10.2345870833333,"Downstream1","Before","Downstream"
2013-11-12,10.277571875,"Downstream1","Before","Downstream"
2013-11-13,10.5266666666667,"Downstream1","Before","Downstream"
2013-11-14,10.8445145833333,"Downstream1","Before","Downstream"
2013-11-15,11.1059364583333,"Downstream1","Before","Downstream"
2013-11-17,10.2818745833333,"Downstream1","Before","Downstream"
