"Date","AvgDO","AvgT","Site","TimeStamp"
2017-09-22,7.02961791666667,25.5032572916667,"Upstream1","After"
2017-09-23,7.00645802083333,25.6620052083333,"Upstream1","After"
2017-09-24,6.942118125,25.6301552083333,"Upstream1","After"
2017-09-25,6.92350666666667,25.369203125,"Upstream1","After"
2017-09-26,6.81270833333333,25.411815625,"Upstream1","After"
2017-09-27,6.93670145833333,25.92706875,"Upstream1","After"
2017-09-28,6.53781260416667,26.1745395833333,"Upstream1","After"
2017-09-29,6.46034739583333,25.13098125,"Upstream1","After"
2017-09-30,6.9753128125,24.3665604166667,"Upstream1","After"
2017-10-01,7.37770770833333,23.717265625,"Upstream1","After"
2017-10-02,7.3973265625,23.412121875,"Upstream1","After"
2017-10-03,7.45006947916667,23.3065416666667,"Upstream1","After"
2017-10-04,7.408993125,23.0271083333333,"Upstream1","After"
2017-10-05,7.28972208333333,23.3181552083333,"Upstream1","After"
2017-10-06,7.27517385416667,23.2207770833333,"Upstream1","After"
2017-10-07,7.21177114583333,23.314496875,"Upstream1","After"
2017-10-08,6.9147225,23.92086875,"Upstream1","After"
2017-10-09,6.776805625,24.0375895833333,"Upstream1","After"
2017-10-10,6.63583322916667,24.42909375,"Upstream1","After"
2017-10-11,6.71065958333333,24.769678125,"Upstream1","After"
2017-10-12,6.68590291666667,24.1610958333333,"Upstream1","After"
2017-10-13,6.9403125,23.7591322916667,"Upstream1","After"
2017-10-14,7.06843791666667,23.283071875,"Upstream1","After"
2017-10-15,7.133055625,23.418540625,"Upstream1","After"
2017-10-16,6.85930572916667,23.0069989583333,"Upstream1","After"
2017-10-17,7.25774302083333,20.8374197916667,"Upstream1","After"
2017-10-18,7.64701364583333,20.1881895833333,"Upstream1","After"
2017-10-19,7.6004859375,20.4795166666667,"Upstream1","After"
2017-10-20,7.55076395833333,20.5420833333333,"Upstream1","After"
2017-10-21,7.46652770833333,20.862,"Upstream1","After"
2017-10-22,7.45638927083333,20.9497729166667,"Upstream1","After"
2017-10-23,7.51611114583333,21.032384375,"Upstream1","After"
2017-10-24,7.53163177083333,20.7022572916667,"Upstream1","After"
2017-10-25,7.53007,19.8018395833333,"Upstream1","After"
2017-10-26,7.683993125,18.9830020833333,"Upstream1","After"
2017-10-27,7.83138864583333,18.39804375,"Upstream1","After"
2017-10-28,7.77864614583333,18.7164729166667,"Upstream1","After"
2017-10-29,7.87701333333333,18.5710197916667,"Upstream1","After"
2017-10-30,8.111145625,16.6253427083333,"Upstream1","After"
2017-10-31,8.17541677083333,16.9310052083333,"Upstream1","After"
2017-11-01,8.02006979166667,17.5455729166667,"Upstream1","After"
2017-11-02,7.87645854166667,18.4080239583333,"Upstream1","After"
2017-11-03,8.1469096875,18.4677291666667,"Upstream1","After"
2017-11-04,7.927743125,18.5555708333333,"Upstream1","After"
