"site","Time","Date","Dissolved Oxygen","TimeStamp"
"NeuseDown1",00:00:00,2017-09-22,7.59667,"After"
"NeuseDown1",00:15:00,2017-09-22,7.59333,"After"
"NeuseDown1",00:30:00,2017-09-22,7.59333,"After"
"NeuseDown1",00:45:00,2017-09-22,7.60667,"After"
"NeuseDown1",01:00:00,2017-09-22,7.63667,"After"
"NeuseDown1",01:15:00,2017-09-22,7.59667,"After"
"NeuseDown1",01:30:00,2017-09-22,7.59667,"After"
"NeuseDown1",01:45:00,2017-09-22,7.56667,"After"
"NeuseDown1",02:00:00,2017-09-22,7.62667,"After"
"NeuseDown1",02:15:00,2017-09-22,7.6,"After"
"NeuseDown1",02:30:00,2017-09-22,7.65667,"After"
"NeuseDown1",02:45:00,2017-09-22,7.59667,"After"
"NeuseDown1",03:00:00,2017-09-22,7.55667,"After"
"NeuseDown1",03:15:00,2017-09-22,7.64667,"After"
"NeuseDown1",03:30:00,2017-09-22,7.59,"After"
"NeuseDown1",03:45:00,2017-09-22,7.55,"After"
"NeuseDown1",04:00:00,2017-09-22,7.64667,"After"
"NeuseDown1",04:15:00,2017-09-22,7.63333,"After"
"NeuseDown1",04:30:00,2017-09-22,7.60333,"After"
"NeuseDown1",04:45:00,2017-09-22,7.62,"After"
"NeuseDown1",05:00:00,2017-09-22,7.63,"After"
"NeuseDown1",05:15:00,2017-09-22,7.61,"After"
"NeuseDown1",05:30:00,2017-09-22,7.64,"After"
"NeuseDown1",05:45:00,2017-09-22,7.59333,"After"
"NeuseDown1",06:00:00,2017-09-22,7.60333,"After"
"NeuseDown1",06:15:00,2017-09-22,7.56667,"After"
"NeuseDown1",06:30:00,2017-09-22,7.62,"After"
"NeuseDown1",06:45:00,2017-09-22,7.54667,"After"
"NeuseDown1",07:00:00,2017-09-22,7.58,"After"
"NeuseDown1",07:15:00,2017-09-22,7.62333,"After"
"NeuseDown1",07:30:00,2017-09-22,7.58667,"After"
"NeuseDown1",07:45:00,2017-09-22,7.57667,"After"
"NeuseDown1",08:00:00,2017-09-22,7.61333,"After"
"NeuseDown1",08:15:00,2017-09-22,7.6,"After"
"NeuseDown1",08:30:00,2017-09-22,7.65333,"After"
