"Date","AvgDO","Site","TimeStamp","Location"
2017-09-22,7.69118041666667,"Downstream1","After","Downstream1"
2017-09-23,7.846805625,"Downstream1","After","Downstream1"
2017-09-24,7.90819427083333,"Downstream1","After","Downstream1"
2017-09-25,7.829791875,"Downstream1","After","Downstream1"
2017-09-26,7.78999989583333,"Downstream1","After","Downstream1"
2017-09-27,7.84600697916667,"Downstream1","After","Downstream1"
2017-09-28,7.88920197916667,"Downstream1","After","Downstream1"
2017-09-29,7.753958125,"Downstream1","After","Downstream1"
2017-09-30,8.24076458333333,"Downstream1","After","Downstream1"
2017-10-01,8.613055625,"Downstream1","After","Downstream1"
2017-10-02,8.67572885416667,"Downstream1","After","Downstream1"
2017-10-03,5.74354135416667,"Downstream1","After","Downstream1"
2017-10-04,8.86958322916667,"Downstream1","After","Downstream1"
2017-10-05,8.686110625,"Downstream1","After","Downstream1"
2017-10-06,8.52618072916667,"Downstream1","After","Downstream1"
2017-10-07,8.61868020833333,"Downstream1","After","Downstream1"
2017-10-08,8.3522221875,"Downstream1","After","Downstream1"
2017-10-09,8.21947927083333,"Downstream1","After","Downstream1"
2017-10-10,7.97239625,"Downstream1","After","Downstream1"
2017-10-11,7.894653125,"Downstream1","After","Downstream1"
2017-10-12,7.71559010416667,"Downstream1","After","Downstream1"
2017-10-13,7.77368041666667,"Downstream1","After","Downstream1"
2017-10-14,8.01288197916667,"Downstream1","After","Downstream1"
2017-10-15,7.7989584375,"Downstream1","After","Downstream1"
2017-10-16,7.54951395833333,"Downstream1","After","Downstream1"
2017-10-17,5.4924621875,"Downstream1","After","Downstream1"
2017-10-18,9.6525346875,"Downstream1","After","Downstream1"
2017-10-19,9.68121479166667,"Downstream1","After","Downstream1"
2017-10-20,9.53833302083333,"Downstream1","After","Downstream1"
2017-10-21,9.34222229166667,"Downstream1","After","Downstream1"
2017-10-22,9.26118083333333,"Downstream1","After","Downstream1"
2017-10-23,9.00229104166667,"Downstream1","After","Downstream1"
2017-10-24,8.780416875,"Downstream1","After","Downstream1"
2017-10-25,8.803715625,"Downstream1","After","Downstream1"
2017-10-26,9.5252771875,"Downstream1","After","Downstream1"
2017-10-27,10.0511817708333,"Downstream1","After","Downstream1"
2017-10-28,9.93423697916667,"Downstream1","After","Downstream1"
2017-10-29,9.44441,"Downstream1","After","Downstream1"
2017-10-30,9.5892359375,"Downstream1","After","Downstream1"
2017-10-31,10.2261770833333,"Downstream1","After","Downstream1"
2017-11-01,10.0334021875,"Downstream1","After","Downstream1"
2017-11-02,9.61954854166667,"Downstream1","After","Downstream1"
2017-11-03,9.46520770833333,"Downstream1","After","Downstream1"
2017-11-04,9.37565947916667,"Downstream1","After","Downstream1"
2017-11-05,9.50690989583333,"Downstream1","After","Downstream1"
2017-11-06,9.49843770833333,"Downstream1","After","Downstream1"
2017-11-07,9.20027791666667,"Downstream1","After","Downstream1"
2017-11-08,9.58902770833333,"Downstream1","After","Downstream1"
2017-11-09,10.1506277083333,"Downstream1","After","Downstream1"
2017-11-10,10.203053125,"Downstream1","After","Downstream1"
2017-11-11,10.692465625,"Downstream1","After","Downstream1"
2017-11-12,11.1382645833333,"Downstream1","After","Downstream1"
2017-11-13,10.895103125,"Downstream1","After","Downstream1"
2017-11-14,10.5476785416667,"Downstream1","After","Downstream1"
2017-11-15,9.94454697916667,"Downstream1","After","Downstream1"
2017-11-16,9.924303125,"Downstream1","After","Downstream1"
2017-11-17,10.5133333333333,"Downstream1","After","Downstream1"
2017-11-18,10.470175,"Downstream1","After","Downstream1"
2017-11-19,9.8353490625,"Downstream1","After","Downstream1"
2017-11-20,10.1205872916667,"Downstream1","After","Downstream1"
2017-11-21,10.4395791666667,"Downstream1","After","Downstream1"
2017-11-22,10.2337802083333,"Downstream1","After","Downstream1"
2017-11-23,10.1450710416667,"Downstream1","After","Downstream1"
2017-11-24,10.5769833333333,"Downstream1","After","Downstream1"
2017-11-25,10.7953489583333,"Downstream1","After","Downstream1"
2017-11-26,10.5903104166667,"Downstream1","After","Downstream1"
2017-11-27,10.5910041666667,"Downstream1","After","Downstream1"
2017-11-28,10.8130197916667,"Downstream1","After","Downstream1"
2017-11-29,10.7088947916667,"Downstream1","After","Downstream1"
2017-11-30,10.5052395833333,"Downstream1","After","Downstream1"
2017-12-01,10.31885,"Downstream1","After","Downstream1"
2017-12-02,10.1386483333333,"Downstream1","After","Downstream1"
2017-12-03,10.0773934375,"Downstream1","After","Downstream1"
2017-12-04,10.1339933333333,"Downstream1","After","Downstream1"
2017-12-05,10.18656375,"Downstream1","After","Downstream1"
2017-12-06,9.91802020833333,"Downstream1","After","Downstream1"
2017-12-07,10.057430625,"Downstream1","After","Downstream1"
2017-12-08,10.359646875,"Downstream1","After","Downstream1"
2017-12-09,10.8562854166667,"Downstream1","After","Downstream1"
