"site","Time","Date","Dissolved.Oxygen","TimeStamp"
"NeuseDown1","11:45:00","2017-12-25",5.93333,"After"
"NeuseDown1","12:00:00","2017-12-25",5.67333,"After"
"NeuseDown1","22:30:00","2017-12-27",5.92667,"After"
"NeuseDown1","22:45:00","2017-12-27",5.37,"After"
"NeuseDown1","23:00:00","2017-12-27",5.57,"After"
"NeuseDown1","23:15:00","2017-12-27",5.33667,"After"
"NeuseDown1","23:30:00","2017-12-27",5.32333,"After"
"NeuseDown1","23:45:00","2017-12-27",5.15,"After"
"NeuseDown1","00:00:00","2017-12-28",4.54333,"After"
"NeuseDown1","00:15:00","2017-12-28",4.97333,"After"
"NeuseDown1","00:30:00","2017-12-28",4.74333,"After"
"NeuseDown1","00:45:00","2017-12-28",3.97667,"After"
"NeuseDown1","01:00:00","2017-12-28",4.10333,"After"
"NeuseDown1","01:15:00","2017-12-28",4.67,"After"
"NeuseDown1","01:30:00","2017-12-28",4.44333,"After"
"NeuseDown1","01:45:00","2017-12-28",3.59667,"After"
"NeuseDown1","02:00:00","2017-12-28",3.03667,"After"
"NeuseDown1","02:15:00","2017-12-28",1.74333,"After"
"NeuseDown1","02:30:00","2017-12-28",1.73,"After"
"NeuseDown1","02:45:00","2017-12-28",1.68,"After"
"NeuseDown1","03:00:00","2017-12-28",1.84,"After"
"NeuseDown1","03:15:00","2017-12-28",1.72667,"After"
"NeuseDown1","03:30:00","2017-12-28",0.713333,"After"
"NeuseDown1","03:45:00","2017-12-28",0.316667,"After"
"NeuseDown1","04:00:00","2017-12-28",0.0166667,"After"
"NeuseDown1","20:45:00","2017-12-29",0.0566667,"After"
"NeuseDown1","21:00:00","2017-12-29",0.84,"After"
"NeuseDown1","21:15:00","2017-12-29",1.55333,"After"
"NeuseDown1","21:30:00","2017-12-29",2.6,"After"
"NeuseDown1","21:45:00","2017-12-29",3.65667,"After"
"NeuseDown1","22:00:00","2017-12-29",4.97,"After"
"NeuseDown1","05:00:00","2017-12-31",5.27333,"After"
"NeuseDown1","05:15:00","2017-12-31",3.68667,"After"
"NeuseDown1","05:30:00","2017-12-31",2.63667,"After"
"NeuseDown1","05:45:00","2017-12-31",1.94667,"After"
"NeuseDown1","06:00:00","2017-12-31",1.23333,"After"
"NeuseDown1","06:15:00","2017-12-31",0.653333,"After"
"NeuseDown1","06:30:00","2017-12-31",0.376667,"After"
"NeuseDown1","06:45:00","2017-12-31",0.19,"After"
"NeuseDown1","07:00:00","2017-12-31",0.0366667,"After"
"NeuseDown1","15:45:00","2017-12-31",0.103333,"After"
"NeuseDown1","16:00:00","2017-12-31",0.393333,"After"
"NeuseDown1","16:15:00","2017-12-31",1.22,"After"
"NeuseDown1","16:30:00","2017-12-31",0.996667,"After"
"NeuseDown1","16:45:00","2017-12-31",0.98,"After"
"NeuseDown1","17:00:00","2017-12-31",1.07,"After"
"NeuseDown1","17:15:00","2017-12-31",1.31667,"After"
"NeuseDown1","17:30:00","2017-12-31",1.84,"After"
"NeuseDown1","17:45:00","2017-12-31",1.87667,"After"
"NeuseDown1","18:00:00","2017-12-31",1.45667,"After"
"NeuseDown1","18:15:00","2017-12-31",1.03333,"After"
"NeuseDown1","18:30:00","2017-12-31",0.976667,"After"
"NeuseDown1","18:45:00","2017-12-31",0.91,"After"
"NeuseDown1","19:00:00","2017-12-31",0.933333,"After"
"NeuseDown1","19:15:00","2017-12-31",0.89,"After"
"NeuseDown1","19:30:00","2017-12-31",0.806667,"After"
"NeuseDown1","19:45:00","2017-12-31",0.923333,"After"
"NeuseDown1","20:00:00","2017-12-31",1.02,"After"
"NeuseDown1","20:15:00","2017-12-31",1.55,"After"
"NeuseDown1","20:30:00","2017-12-31",1.69,"After"
"NeuseDown1","20:45:00","2017-12-31",1.76,"After"
"NeuseDown1","21:00:00","2017-12-31",2.11333,"After"
"NeuseDown1","21:15:00","2017-12-31",2.70667,"After"
"NeuseDown1","21:30:00","2017-12-31",3.18667,"After"
"NeuseDown1","21:45:00","2017-12-31",3.52667,"After"
"NeuseDown1","22:00:00","2017-12-31",3.52,"After"
"NeuseDown1","22:15:00","2017-12-31",3.16333,"After"
"NeuseDown1","22:30:00","2017-12-31",2.88,"After"
"NeuseDown1","22:45:00","2017-12-31",2.86333,"After"
"NeuseDown1","23:00:00","2017-12-31",2.90667,"After"
"NeuseDown1","23:15:00","2017-12-31",3.27,"After"
"NeuseDown1","23:30:00","2017-12-31",3.15333,"After"
"NeuseDown1","23:45:00","2017-12-31",3.25333,"After"
"NeuseDown1","00:00:00","2018-01-01",3.65,"After"
"NeuseDown1","00:15:00","2018-01-01",3.74333,"After"
"NeuseDown1","00:30:00","2018-01-01",3.54333,"After"
"NeuseDown1","00:45:00","2018-01-01",3.62667,"After"
"NeuseDown1","01:00:00","2018-01-01",3.70333,"After"
"NeuseDown1","01:15:00","2018-01-01",3.46333,"After"
"NeuseDown1","01:30:00","2018-01-01",3.34333,"After"
"NeuseDown1","01:45:00","2018-01-01",3.39333,"After"
"NeuseDown1","02:00:00","2018-01-01",3.27667,"After"
"NeuseDown1","02:15:00","2018-01-01",3.05333,"After"
"NeuseDown1","02:30:00","2018-01-01",2.83,"After"
"NeuseDown1","02:45:00","2018-01-01",1.98,"After"
"NeuseDown1","03:00:00","2018-01-01",1.02667,"After"
"NeuseDown1","03:15:00","2018-01-01",0.773333,"After"
"NeuseDown1","03:30:00","2018-01-01",0.72,"After"
"NeuseDown1","03:45:00","2018-01-01",0.683333,"After"
"NeuseDown1","04:00:00","2018-01-01",0.64,"After"
"NeuseDown1","04:15:00","2018-01-01",0.736667,"After"
"NeuseDown1","04:30:00","2018-01-01",0.603333,"After"
"NeuseDown1","04:45:00","2018-01-01",0.466667,"After"
"NeuseDown1","05:00:00","2018-01-01",0.933333,"After"
"NeuseDown1","05:15:00","2018-01-01",1.87333,"After"
"NeuseDown1","05:30:00","2018-01-01",2.69333,"After"
"NeuseDown1","05:45:00","2018-01-01",2.88,"After"
"NeuseDown1","06:00:00","2018-01-01",2.74667,"After"
"NeuseDown1","06:15:00","2018-01-01",2.81667,"After"
"NeuseDown1","06:30:00","2018-01-01",2.84667,"After"
"NeuseDown1","06:45:00","2018-01-01",2.65667,"After"
"NeuseDown1","07:00:00","2018-01-01",2.36,"After"
"NeuseDown1","07:15:00","2018-01-01",1.95667,"After"
"NeuseDown1","07:30:00","2018-01-01",1.62667,"After"
"NeuseDown1","07:45:00","2018-01-01",1.98,"After"
"NeuseDown1","08:00:00","2018-01-01",2.78667,"After"
"NeuseDown1","08:15:00","2018-01-01",3.64667,"After"
"NeuseDown1","08:30:00","2018-01-01",4.01667,"After"
"NeuseDown1","08:45:00","2018-01-01",4.06,"After"
"NeuseDown1","09:00:00","2018-01-01",3.87667,"After"
"NeuseDown1","09:15:00","2018-01-01",3.37667,"After"
"NeuseDown1","09:30:00","2018-01-01",2.64333,"After"
"NeuseDown1","09:45:00","2018-01-01",2.86,"After"
"NeuseDown1","10:00:00","2018-01-01",3.44333,"After"
"NeuseDown1","10:15:00","2018-01-01",3.65667,"After"
"NeuseDown1","10:30:00","2018-01-01",3.4,"After"
"NeuseDown1","10:45:00","2018-01-01",3.19333,"After"
"NeuseDown1","11:00:00","2018-01-01",2.79,"After"
"NeuseDown1","11:15:00","2018-01-01",3.43667,"After"
"NeuseDown1","11:30:00","2018-01-01",4.98667,"After"
"NeuseDown1","16:15:00","2018-01-01",4.7,"After"
"NeuseDown1","16:30:00","2018-01-01",2.81333,"After"
"NeuseDown1","16:45:00","2018-01-01",3.73,"After"
"NeuseDown1","17:00:00","2018-01-01",4.26667,"After"
"NeuseDown1","17:15:00","2018-01-01",3.49,"After"
"NeuseDown1","17:30:00","2018-01-01",2.66667,"After"
"NeuseDown1","17:45:00","2018-01-01",2.53667,"After"
"NeuseDown1","18:00:00","2018-01-01",2.12333,"After"
"NeuseDown1","18:15:00","2018-01-01",1.92,"After"
"NeuseDown1","18:30:00","2018-01-01",2.19667,"After"
"NeuseDown1","18:45:00","2018-01-01",2.40667,"After"
"NeuseDown1","19:00:00","2018-01-01",2.99,"After"
"NeuseDown1","19:15:00","2018-01-01",3.99333,"After"
"NeuseDown1","19:30:00","2018-01-01",5.39333,"After"
"NeuseDown1","00:45:00","2018-01-02",5.98667,"After"
"NeuseDown1","01:00:00","2018-01-02",5.72333,"After"
"NeuseDown1","01:15:00","2018-01-02",4.16,"After"
"NeuseDown1","01:30:00","2018-01-02",2.14333,"After"
"NeuseDown1","01:45:00","2018-01-02",1.15667,"After"
"NeuseDown1","02:00:00","2018-01-02",0.66,"After"
"NeuseDown1","02:15:00","2018-01-02",0.456667,"After"
"NeuseDown1","02:30:00","2018-01-02",0.463333,"After"
"NeuseDown1","02:45:00","2018-01-02",0.583333,"After"
"NeuseDown1","03:00:00","2018-01-02",0.86,"After"
"NeuseDown1","03:15:00","2018-01-02",1.16333,"After"
"NeuseDown1","03:30:00","2018-01-02",1.30667,"After"
"NeuseDown1","03:45:00","2018-01-02",1.50667,"After"
"NeuseDown1","04:00:00","2018-01-02",1.71667,"After"
"NeuseDown1","04:15:00","2018-01-02",1.90667,"After"
"NeuseDown1","04:30:00","2018-01-02",2.19333,"After"
"NeuseDown1","04:45:00","2018-01-02",2.50667,"After"
"NeuseDown1","05:00:00","2018-01-02",2.79667,"After"
"NeuseDown1","05:15:00","2018-01-02",2.88333,"After"
"NeuseDown1","05:30:00","2018-01-02",2.92333,"After"
"NeuseDown1","05:45:00","2018-01-02",3.06333,"After"
"NeuseDown1","06:00:00","2018-01-02",3.48667,"After"
"NeuseDown1","06:15:00","2018-01-02",3.69333,"After"
"NeuseDown1","06:30:00","2018-01-02",3.76,"After"
"NeuseDown1","06:45:00","2018-01-02",3.93,"After"
"NeuseDown1","07:00:00","2018-01-02",4.08667,"After"
"NeuseDown1","07:15:00","2018-01-02",4.19667,"After"
"NeuseDown1","07:30:00","2018-01-02",4.38,"After"
"NeuseDown1","07:45:00","2018-01-02",4.45667,"After"
"NeuseDown1","08:00:00","2018-01-02",4.46333,"After"
"NeuseDown1","08:15:00","2018-01-02",4.56,"After"
"NeuseDown1","08:30:00","2018-01-02",4.59,"After"
"NeuseDown1","08:45:00","2018-01-02",4.35,"After"
"NeuseDown1","09:00:00","2018-01-02",4.00333,"After"
"NeuseDown1","09:15:00","2018-01-02",3.69333,"After"
"NeuseDown1","09:30:00","2018-01-02",3.40333,"After"
"NeuseDown1","09:45:00","2018-01-02",3.26667,"After"
"NeuseDown1","10:00:00","2018-01-02",3.11333,"After"
"NeuseDown1","10:15:00","2018-01-02",2.85667,"After"
"NeuseDown1","10:30:00","2018-01-02",2.42667,"After"
"NeuseDown1","10:45:00","2018-01-02",2.14333,"After"
"NeuseDown1","11:00:00","2018-01-02",2.11,"After"
"NeuseDown1","11:15:00","2018-01-02",2.14667,"After"
"NeuseDown1","11:30:00","2018-01-02",2.01333,"After"
"NeuseDown1","11:45:00","2018-01-02",1.88,"After"
"NeuseDown1","12:00:00","2018-01-02",1.80667,"After"
"NeuseDown1","12:15:00","2018-01-02",1.75667,"After"
"NeuseDown1","12:30:00","2018-01-02",1.69,"After"
"NeuseDown1","12:45:00","2018-01-02",1.59,"After"
"NeuseDown1","13:00:00","2018-01-02",1.59,"After"
"NeuseDown1","13:15:00","2018-01-02",1.62,"After"
"NeuseDown1","13:30:00","2018-01-02",1.64,"After"
"NeuseDown1","13:45:00","2018-01-02",1.60667,"After"
"NeuseDown1","14:00:00","2018-01-02",1.72333,"After"
"NeuseDown1","14:15:00","2018-01-02",2.07333,"After"
"NeuseDown1","14:30:00","2018-01-02",2.36333,"After"
"NeuseDown1","14:45:00","2018-01-02",2.42667,"After"
