"Date","AvgDO","Site","TimeStamp","Location"
2017-09-22,7.06614572916667,"Downstream2B","After","Downstream2B"
2017-09-23,7.0655209375,"Downstream2B","After","Downstream2B"
2017-09-24,7.06253458333333,"Downstream2B","After","Downstream2B"
2017-09-25,7.04756927083333,"Downstream2B","After","Downstream2B"
2017-09-26,6.95756958333333,"Downstream2B","After","Downstream2B"
2017-09-27,6.91069458333333,"Downstream2B","After","Downstream2B"
2017-09-28,6.69763875,"Downstream2B","After","Downstream2B"
2017-09-29,6.39006927083333,"Downstream2B","After","Downstream2B"
2017-09-30,6.85670104166667,"Downstream2B","After","Downstream2B"
2017-10-01,7.66038166666667,"Downstream2B","After","Downstream2B"
2017-10-02,7.9047221875,"Downstream2B","After","Downstream2B"
2017-10-03,8.13243072916667,"Downstream2B","After","Downstream2B"
2017-10-04,8.13857614583333,"Downstream2B","After","Downstream2B"
2017-10-05,7.87597239583333,"Downstream2B","After","Downstream2B"
2017-10-06,7.6831940625,"Downstream2B","After","Downstream2B"
2017-10-07,7.56951375,"Downstream2B","After","Downstream2B"
2017-10-08,7.15201385416667,"Downstream2B","After","Downstream2B"
2017-10-09,6.88190989583333,"Downstream2B","After","Downstream2B"
2017-10-10,6.516145625,"Downstream2B","After","Downstream2B"
2017-10-11,6.2538540625,"Downstream2B","After","Downstream2B"
2017-10-12,6.19510375,"Downstream2B","After","Downstream2B"
2017-10-13,6.62586802083333,"Downstream2B","After","Downstream2B"
2017-10-14,4.22503510416667,"Downstream2B","After","Downstream2B"
2017-10-15,4.26166666666667,"Downstream2B","After","Downstream2B"
2017-10-16,0.4908680878125,"Downstream2B","After","Downstream2B"
2017-10-17,4.160311878125,"Downstream2B","After","Downstream2B"
2017-10-18,8.49781239583333,"Downstream2B","After","Downstream2B"
2017-10-19,8.75232604166667,"Downstream2B","After","Downstream2B"
2017-10-20,8.538785,"Downstream2B","After","Downstream2B"
2017-10-21,8.6244440625,"Downstream2B","After","Downstream2B"
2017-10-22,8.49079864583333,"Downstream2B","After","Downstream2B"
2017-10-23,8.27222208333333,"Downstream2B","After","Downstream2B"
2017-10-24,7.61961791666667,"Downstream2B","After","Downstream2B"
2017-10-25,8.01059010416667,"Downstream2B","After","Downstream2B"
2017-10-26,8.526735625,"Downstream2B","After","Downstream2B"
2017-10-27,9.0595834375,"Downstream2B","After","Downstream2B"
2017-10-28,9.05680604166667,"Downstream2B","After","Downstream2B"
2017-10-29,8.43663197916667,"Downstream2B","After","Downstream2B"
2017-10-30,8.591145625,"Downstream2B","After","Downstream2B"
2017-10-31,9.13232614583333,"Downstream2B","After","Downstream2B"
2017-11-01,8.7625,"Downstream2B","After","Downstream2B"
2017-11-02,8.439895625,"Downstream2B","After","Downstream2B"
2017-11-03,8.78364614583333,"Downstream2B","After","Downstream2B"
2017-11-04,8.43010385416667,"Downstream2B","After","Downstream2B"
2017-11-05,8.37711791666667,"Downstream2B","After","Downstream2B"
2017-11-06,8.38732583333333,"Downstream2B","After","Downstream2B"
2017-11-07,7.95791635416667,"Downstream2B","After","Downstream2B"
2017-11-08,8.19295145833333,"Downstream2B","After","Downstream2B"
2017-11-09,9.00354125,"Downstream2B","After","Downstream2B"
2017-11-10,9.26468729166667,"Downstream2B","After","Downstream2B"
2017-11-11,9.69191,"Downstream2B","After","Downstream2B"
2017-11-12,10.5097197916667,"Downstream2B","After","Downstream2B"
2017-11-13,10.344134375,"Downstream2B","After","Downstream2B"
2017-11-14,9.94034770833333,"Downstream2B","After","Downstream2B"
2017-11-15,9.95020635416667,"Downstream2B","After","Downstream2B"
2017-11-16,9.8312146875,"Downstream2B","After","Downstream2B"
2017-11-17,9.87114875,"Downstream2B","After","Downstream2B"
2017-11-18,10.4539947916667,"Downstream2B","After","Downstream2B"
2017-11-19,9.87510520833333,"Downstream2B","After","Downstream2B"
