"site","Time","Date","Dissolved.Oxygen","TimeStamp"
"NeuseDown2B","10:00:00","2017-10-14",3.89667,"After"
"NeuseDown2B","10:15:00","2017-10-14",3.81333,"After"
"NeuseDown2B","10:30:00","2017-10-14",3.86333,"After"
"NeuseDown2B","10:45:00","2017-10-14",3.68667,"After"
"NeuseDown2B","11:00:00","2017-10-14",3.01667,"After"
"NeuseDown2B","11:15:00","2017-10-14",2.65667,"After"
"NeuseDown2B","11:30:00","2017-10-14",2.87,"After"
"NeuseDown2B","11:45:00","2017-10-14",2.77,"After"
"NeuseDown2B","12:00:00","2017-10-14",2.88667,"After"
"NeuseDown2B","12:15:00","2017-10-14",2.98,"After"
"NeuseDown2B","12:30:00","2017-10-14",3.07,"After"
"NeuseDown2B","12:45:00","2017-10-14",3.12333,"After"
"NeuseDown2B","13:00:00","2017-10-14",3.06,"After"
"NeuseDown2B","13:15:00","2017-10-14",2.93667,"After"
"NeuseDown2B","13:30:00","2017-10-14",3.27667,"After"
"NeuseDown2B","13:45:00","2017-10-14",2.98333,"After"
"NeuseDown2B","14:00:00","2017-10-14",3.30333,"After"
"NeuseDown2B","14:15:00","2017-10-14",3.63333,"After"
"NeuseDown2B","14:30:00","2017-10-14",3.23667,"After"
"NeuseDown2B","14:45:00","2017-10-14",2.64,"After"
"NeuseDown2B","15:00:00","2017-10-14",2.93,"After"
"NeuseDown2B","15:15:00","2017-10-14",3.07333,"After"
"NeuseDown2B","15:30:00","2017-10-14",3.26667,"After"
"NeuseDown2B","15:45:00","2017-10-14",3.34,"After"
"NeuseDown2B","16:00:00","2017-10-14",3.22333,"After"
"NeuseDown2B","16:15:00","2017-10-14",3,"After"
"NeuseDown2B","16:30:00","2017-10-14",3.04,"After"
"NeuseDown2B","16:45:00","2017-10-14",3.11667,"After"
"NeuseDown2B","17:00:00","2017-10-14",3.00667,"After"
"NeuseDown2B","17:15:00","2017-10-14",3.00667,"After"
"NeuseDown2B","17:30:00","2017-10-14",3.74333,"After"
"NeuseDown2B","17:45:00","2017-10-14",3.62333,"After"
"NeuseDown2B","18:00:00","2017-10-14",3.66667,"After"
"NeuseDown2B","19:15:00","2017-10-14",3.82333,"After"
"NeuseDown2B","19:30:00","2017-10-14",3.65,"After"
"NeuseDown2B","19:45:00","2017-10-14",3.7,"After"
"NeuseDown2B","20:00:00","2017-10-14",3.84,"After"
"NeuseDown2B","20:15:00","2017-10-14",3.69,"After"
"NeuseDown2B","20:30:00","2017-10-14",3.65333,"After"
"NeuseDown2B","20:45:00","2017-10-14",3.41667,"After"
"NeuseDown2B","21:00:00","2017-10-14",3.57667,"After"
"NeuseDown2B","21:15:00","2017-10-14",3.47667,"After"
"NeuseDown2B","21:45:00","2017-10-14",3.77,"After"
"NeuseDown2B","22:00:00","2017-10-14",3.45,"After"
"NeuseDown2B","22:15:00","2017-10-14",3.45,"After"
"NeuseDown2B","22:30:00","2017-10-14",2.99667,"After"
"NeuseDown2B","22:45:00","2017-10-14",3.27667,"After"
"NeuseDown2B","23:00:00","2017-10-14",3.68333,"After"
"NeuseDown2B","23:15:00","2017-10-14",3.19,"After"
"NeuseDown2B","23:30:00","2017-10-14",3.19,"After"
"NeuseDown2B","23:45:00","2017-10-14",3.67,"After"
"NeuseDown2B","00:00:00","2017-10-15",3.83333,"After"
"NeuseDown2B","00:15:00","2017-10-15",3.95,"After"
"NeuseDown2B","00:30:00","2017-10-15",3.69,"After"
"NeuseDown2B","00:45:00","2017-10-15",3.29333,"After"
"NeuseDown2B","01:00:00","2017-10-15",3.93667,"After"
"NeuseDown2B","01:30:00","2017-10-15",3.84333,"After"
"NeuseDown2B","03:00:00","2017-10-15",3.97333,"After"
"NeuseDown2B","03:15:00","2017-10-15",3.82,"After"
"NeuseDown2B","03:30:00","2017-10-15",3.72,"After"
"NeuseDown2B","03:45:00","2017-10-15",3.86667,"After"
"NeuseDown2B","04:00:00","2017-10-15",3.86,"After"
"NeuseDown2B","04:15:00","2017-10-15",3.99667,"After"
"NeuseDown2B","15:30:00","2017-10-15",3.84667,"After"
"NeuseDown2B","16:15:00","2017-10-15",3.90333,"After"
"NeuseDown2B","20:00:00","2017-10-15",3.53667,"After"
"NeuseDown2B","20:15:00","2017-10-15",3.18,"After"
"NeuseDown2B","20:30:00","2017-10-15",3.37333,"After"
"NeuseDown2B","20:45:00","2017-10-15",3.47667,"After"
"NeuseDown2B","21:00:00","2017-10-15",3.40667,"After"
"NeuseDown2B","21:15:00","2017-10-15",3.37667,"After"
"NeuseDown2B","21:30:00","2017-10-15",3.36667,"After"
"NeuseDown2B","21:45:00","2017-10-15",3.31333,"After"
"NeuseDown2B","22:00:00","2017-10-15",3.06,"After"
"NeuseDown2B","22:15:00","2017-10-15",2.75,"After"
"NeuseDown2B","22:30:00","2017-10-15",3.03333,"After"
"NeuseDown2B","22:45:00","2017-10-15",2.92667,"After"
"NeuseDown2B","23:00:00","2017-10-15",2.68,"After"
"NeuseDown2B","23:15:00","2017-10-15",2.65,"After"
"NeuseDown2B","23:30:00","2017-10-15",2.52333,"After"
"NeuseDown2B","23:45:00","2017-10-15",2.47,"After"
"NeuseDown2B","00:00:00","2017-10-16",2.76667,"After"
"NeuseDown2B","00:15:00","2017-10-16",2.50667,"After"
"NeuseDown2B","00:30:00","2017-10-16",2.45667,"After"
"NeuseDown2B","00:45:00","2017-10-16",2.36667,"After"
"NeuseDown2B","01:00:00","2017-10-16",2.03333,"After"
"NeuseDown2B","01:15:00","2017-10-16",1.97333,"After"
"NeuseDown2B","01:30:00","2017-10-16",2.10667,"After"
"NeuseDown2B","01:45:00","2017-10-16",1.68,"After"
"NeuseDown2B","02:00:00","2017-10-16",1.88667,"After"
"NeuseDown2B","02:15:00","2017-10-16",1.54333,"After"
"NeuseDown2B","02:30:00","2017-10-16",1.07667,"After"
"NeuseDown2B","02:45:00","2017-10-16",1.20333,"After"
"NeuseDown2B","03:00:00","2017-10-16",1.68333,"After"
"NeuseDown2B","03:15:00","2017-10-16",2.06333,"After"
"NeuseDown2B","03:30:00","2017-10-16",1.92667,"After"
"NeuseDown2B","03:45:00","2017-10-16",1.87667,"After"
"NeuseDown2B","04:00:00","2017-10-16",1.98333,"After"
"NeuseDown2B","04:15:00","2017-10-16",1.89333,"After"
"NeuseDown2B","04:30:00","2017-10-16",2.14,"After"
"NeuseDown2B","04:45:00","2017-10-16",2.13,"After"
"NeuseDown2B","05:00:00","2017-10-16",1.78,"After"
"NeuseDown2B","05:15:00","2017-10-16",1.28667,"After"
"NeuseDown2B","05:30:00","2017-10-16",1.08333,"After"
"NeuseDown2B","05:45:00","2017-10-16",1.08,"After"
"NeuseDown2B","06:00:00","2017-10-16",0.51,"After"
"NeuseDown2B","06:15:00","2017-10-16",0.07,"After"
"NeuseDown2B","19:15:00","2017-10-16",0.00333333,"After"
"NeuseDown2B","19:30:00","2017-10-16",0.0433333,"After"
"NeuseDown2B","19:45:00","2017-10-16",0.0266667,"After"
"NeuseDown2B","20:00:00","2017-10-16",0.0966667,"After"
"NeuseDown2B","20:15:00","2017-10-16",0.156667,"After"
"NeuseDown2B","20:30:00","2017-10-16",0.0566667,"After"
"NeuseDown2B","20:45:00","2017-10-16",0.0466667,"After"
"NeuseDown2B","21:00:00","2017-10-16",0.173333,"After"
"NeuseDown2B","21:15:00","2017-10-16",0.313333,"After"
"NeuseDown2B","21:30:00","2017-10-16",0.3,"After"
"NeuseDown2B","21:45:00","2017-10-16",0.23,"After"
"NeuseDown2B","22:00:00","2017-10-16",0.276667,"After"
"NeuseDown2B","22:15:00","2017-10-16",0.276667,"After"
"NeuseDown2B","22:30:00","2017-10-16",0.183333,"After"
"NeuseDown2B","22:45:00","2017-10-16",0.21,"After"
"NeuseDown2B","23:00:00","2017-10-16",0.213333,"After"
"NeuseDown2B","23:15:00","2017-10-16",0.163333,"After"
"NeuseDown2B","23:30:00","2017-10-16",0.106667,"After"
"NeuseDown2B","23:45:00","2017-10-16",0.16,"After"
"NeuseDown2B","00:00:00","2017-10-17",0.253333,"After"
"NeuseDown2B","00:15:00","2017-10-17",0.326667,"After"
"NeuseDown2B","00:30:00","2017-10-17",0.426667,"After"
"NeuseDown2B","00:45:00","2017-10-17",0.59,"After"
"NeuseDown2B","01:00:00","2017-10-17",0.65,"After"
"NeuseDown2B","01:15:00","2017-10-17",0.603333,"After"
"NeuseDown2B","01:30:00","2017-10-17",0.486667,"After"
"NeuseDown2B","01:45:00","2017-10-17",0.473333,"After"
"NeuseDown2B","02:00:00","2017-10-17",0.42,"After"
"NeuseDown2B","02:15:00","2017-10-17",0.383333,"After"
"NeuseDown2B","02:30:00","2017-10-17",0.326667,"After"
"NeuseDown2B","02:45:00","2017-10-17",0.38,"After"
"NeuseDown2B","03:00:00","2017-10-17",0.5,"After"
"NeuseDown2B","03:15:00","2017-10-17",0.55,"After"
"NeuseDown2B","03:30:00","2017-10-17",0.586667,"After"
"NeuseDown2B","03:45:00","2017-10-17",0.643333,"After"
"NeuseDown2B","04:00:00","2017-10-17",0.63,"After"
"NeuseDown2B","04:15:00","2017-10-17",0.583333,"After"
"NeuseDown2B","04:30:00","2017-10-17",0.633333,"After"
"NeuseDown2B","04:45:00","2017-10-17",0.54,"After"
"NeuseDown2B","05:00:00","2017-10-17",0.41,"After"
"NeuseDown2B","05:15:00","2017-10-17",0.403333,"After"
"NeuseDown2B","05:30:00","2017-10-17",0.36,"After"
"NeuseDown2B","05:45:00","2017-10-17",0.32,"After"
"NeuseDown2B","06:00:00","2017-10-17",0.296667,"After"
"NeuseDown2B","06:15:00","2017-10-17",0.28,"After"
"NeuseDown2B","06:30:00","2017-10-17",0.266667,"After"
"NeuseDown2B","06:45:00","2017-10-17",0.293333,"After"
"NeuseDown2B","07:00:00","2017-10-17",0.45,"After"
"NeuseDown2B","07:15:00","2017-10-17",0.47,"After"
"NeuseDown2B","07:30:00","2017-10-17",0.44,"After"
"NeuseDown2B","07:45:00","2017-10-17",0.353333,"After"
"NeuseDown2B","08:00:00","2017-10-17",0.31,"After"
"NeuseDown2B","08:15:00","2017-10-17",0.256667,"After"
"NeuseDown2B","08:30:00","2017-10-17",0.326667,"After"
"NeuseDown2B","08:45:00","2017-10-17",0.4,"After"
"NeuseDown2B","09:00:00","2017-10-17",0.416667,"After"
"NeuseDown2B","09:15:00","2017-10-17",0.313333,"After"
"NeuseDown2B","09:30:00","2017-10-17",0.216667,"After"
"NeuseDown2B","09:45:00","2017-10-17",0.173333,"After"
"NeuseDown2B","10:00:00","2017-10-17",0.236667,"After"
"NeuseDown2B","10:15:00","2017-10-17",0.29,"After"
"NeuseDown2B","10:30:00","2017-10-17",0.283333,"After"
"NeuseDown2B","10:45:00","2017-10-17",0.22,"After"
"NeuseDown2B","11:00:00","2017-10-17",0.293333,"After"
"NeuseDown2B","11:15:00","2017-10-17",0.286667,"After"
"NeuseDown2B","11:30:00","2017-10-17",0.246667,"After"
"NeuseDown2B","11:45:00","2017-10-17",0.226667,"After"
"NeuseDown2B","12:00:00","2017-10-17",0.17,"After"
"NeuseDown2B","12:15:00","2017-10-17",0.0733333,"After"
"NeuseDown2B","04:30:00","2018-02-17",4,"After"
"NeuseDown2B","05:15:00","2018-02-17",3.93667,"After"
"NeuseDown2B","05:30:00","2018-02-17",3.89333,"After"
"NeuseDown2B","05:45:00","2018-02-17",3.83333,"After"
"NeuseDown2B","06:00:00","2018-02-17",3.84667,"After"
"NeuseDown2B","06:15:00","2018-02-17",3.82,"After"
"NeuseDown2B","06:30:00","2018-02-17",3.83,"After"
"NeuseDown2B","09:15:00","2018-02-17",3.98333,"After"
"NeuseDown2B","09:30:00","2018-02-17",3.84667,"After"
"NeuseDown2B","09:45:00","2018-02-17",3.78667,"After"
"NeuseDown2B","10:00:00","2018-02-17",3.78667,"After"
"NeuseDown2B","10:15:00","2018-02-17",3.81,"After"
"NeuseDown2B","10:30:00","2018-02-17",3.77,"After"
"NeuseDown2B","10:45:00","2018-02-17",3.78333,"After"
"NeuseDown2B","11:00:00","2018-02-17",3.82667,"After"
"NeuseDown2B","11:15:00","2018-02-17",3.82333,"After"
"NeuseDown2B","11:30:00","2018-02-17",3.90667,"After"
"NeuseDown2B","11:45:00","2018-02-17",3.91,"After"
"NeuseDown2B","12:00:00","2018-02-17",3.88333,"After"
"NeuseDown2B","12:15:00","2018-02-17",3.95667,"After"
"NeuseDown2B","14:15:00","2018-02-17",3.89,"After"
"NeuseDown2B","14:30:00","2018-02-17",3.81,"After"
"NeuseDown2B","14:45:00","2018-02-17",3.76333,"After"
"NeuseDown2B","15:00:00","2018-02-17",3.85,"After"
"NeuseDown2B","05:00:00","2018-02-25",3.98333,"After"
"NeuseDown2B","05:15:00","2018-02-25",3.89667,"After"
"NeuseDown2B","05:30:00","2018-02-25",3.83,"After"
"NeuseDown2B","05:45:00","2018-02-25",3.86333,"After"
"NeuseDown2B","06:00:00","2018-02-25",3.94333,"After"
"NeuseDown2B","06:15:00","2018-02-25",3.96,"After"
"NeuseDown2B","10:15:00","2018-02-25",3.98,"After"
"NeuseDown2B","10:30:00","2018-02-25",3.97,"After"
"NeuseDown2B","10:45:00","2018-02-25",3.97667,"After"
"NeuseDown2B","11:00:00","2018-02-25",3.97667,"After"
"NeuseDown2B","11:15:00","2018-02-25",3.95333,"After"
"NeuseDown2B","11:30:00","2018-02-25",3.89,"After"
"NeuseDown2B","11:45:00","2018-02-25",3.79667,"After"
"NeuseDown2B","12:00:00","2018-02-25",3.69667,"After"
"NeuseDown2B","12:15:00","2018-02-25",3.64667,"After"
"NeuseDown2B","12:30:00","2018-02-25",3.59667,"After"
"NeuseDown2B","12:45:00","2018-02-25",3.64,"After"
"NeuseDown2B","13:00:00","2018-02-25",3.67667,"After"
"NeuseDown2B","13:15:00","2018-02-25",3.63667,"After"
"NeuseDown2B","13:30:00","2018-02-25",3.67,"After"
"NeuseDown2B","13:45:00","2018-02-25",3.73333,"After"
"NeuseDown2B","14:00:00","2018-02-25",3.59333,"After"
"NeuseDown2B","14:15:00","2018-02-25",3.71333,"After"
"NeuseDown2B","14:30:00","2018-02-25",3.83,"After"
