"site","Time","Date","Dissolved Oxygen","TimeStamp"
"NeuseImp1",00:00:00,2017-09-22,7.01,"After"
"NeuseImp1",00:15:00,2017-09-22,6.98333,"After"
"NeuseImp1",00:30:00,2017-09-22,6.96,"After"
"NeuseImp1",00:45:00,2017-09-22,6.93,"After"
"NeuseImp1",01:00:00,2017-09-22,6.89333,"After"
"NeuseImp1",01:15:00,2017-09-22,6.86,"After"
"NeuseImp1",01:30:00,2017-09-22,6.84333,"After"
"NeuseImp1",01:45:00,2017-09-22,6.83,"After"
"NeuseImp1",02:00:00,2017-09-22,6.78667,"After"
"NeuseImp1",02:15:00,2017-09-22,6.76667,"After"
"NeuseImp1",02:30:00,2017-09-22,6.73,"After"
"NeuseImp1",02:45:00,2017-09-22,6.70667,"After"
"NeuseImp1",03:00:00,2017-09-22,6.68,"After"
"NeuseImp1",03:15:00,2017-09-22,6.64667,"After"
"NeuseImp1",03:30:00,2017-09-22,6.61667,"After"
"NeuseImp1",03:45:00,2017-09-22,6.59667,"After"
"NeuseImp1",04:00:00,2017-09-22,6.58,"After"
"NeuseImp1",04:15:00,2017-09-22,6.54667,"After"
"NeuseImp1",04:30:00,2017-09-22,6.52,"After"
"NeuseImp1",04:45:00,2017-09-22,6.51333,"After"
"NeuseImp1",05:00:00,2017-09-22,6.49667,"After"
"NeuseImp1",05:15:00,2017-09-22,6.46333,"After"
"NeuseImp1",05:30:00,2017-09-22,6.46667,"After"
"NeuseImp1",05:45:00,2017-09-22,6.43,"After"
"NeuseImp1",06:00:00,2017-09-22,6.43333,"After"
"NeuseImp1",06:15:00,2017-09-22,6.40667,"After"
"NeuseImp1",06:30:00,2017-09-22,6.38667,"After"
"NeuseImp1",06:45:00,2017-09-22,6.39333,"After"
"NeuseImp1",07:00:00,2017-09-22,6.37333,"After"
"NeuseImp1",07:15:00,2017-09-22,6.37333,"After"
"NeuseImp1",07:30:00,2017-09-22,6.35667,"After"
"NeuseImp1",07:45:00,2017-09-22,6.34667,"After"
"NeuseImp1",08:00:00,2017-09-22,6.34667,"After"
"NeuseImp1",08:15:00,2017-09-22,6.33333,"After"
"NeuseImp1",08:30:00,2017-09-22,6.31333,"After"
"NeuseImp1",08:45:00,2017-09-22,6.31333,"After"
"NeuseImp1",09:00:00,2017-09-22,6.30667,"After"
"NeuseImp1",09:15:00,2017-09-22,6.32,"After"
"NeuseImp1",09:30:00,2017-09-22,6.30667,"After"
"NeuseImp1",09:45:00,2017-09-22,6.28667,"After"
"NeuseImp1",10:00:00,2017-09-22,6.29667,"After"
"NeuseImp1",10:15:00,2017-09-22,6.29333,"After"
"NeuseImp1",10:30:00,2017-09-22,6.29,"After"
"NeuseImp1",10:45:00,2017-09-22,6.28667,"After"
"NeuseImp1",11:00:00,2017-09-22,6.27667,"After"
"NeuseImp1",11:15:00,2017-09-22,6.28,"After"
"NeuseImp1",11:30:00,2017-09-22,6.27667,"After"
"NeuseImp1",11:45:00,2017-09-22,6.29333,"After"
"NeuseImp1",12:00:00,2017-09-22,6.29667,"After"
"NeuseImp1",12:15:00,2017-09-22,6.29667,"After"
"NeuseImp1",12:30:00,2017-09-22,6.31333,"After"
"NeuseImp1",12:45:00,2017-09-22,6.32667,"After"
"NeuseImp1",13:00:00,2017-09-22,6.35,"After"
"NeuseImp1",13:15:00,2017-09-22,6.37333,"After"
"NeuseImp1",13:30:00,2017-09-22,6.41,"After"
"NeuseImp1",13:45:00,2017-09-22,6.43333,"After"
"NeuseImp1",14:00:00,2017-09-22,6.47333,"After"
"NeuseImp1",14:15:00,2017-09-22,6.5,"After"
"NeuseImp1",14:30:00,2017-09-22,6.56667,"After"
"NeuseImp1",14:45:00,2017-09-22,6.62,"After"
"NeuseImp1",15:00:00,2017-09-22,6.67,"After"
"NeuseImp1",15:15:00,2017-09-22,6.72667,"After"
"NeuseImp1",15:30:00,2017-09-22,6.77333,"After"
"NeuseImp1",15:45:00,2017-09-22,6.81333,"After"
"NeuseImp1",16:00:00,2017-09-22,6.86667,"After"
"NeuseImp1",16:15:00,2017-09-22,6.88333,"After"
"NeuseImp1",16:30:00,2017-09-22,6.92,"After"
"NeuseImp1",16:45:00,2017-09-22,6.94333,"After"
"NeuseImp1",17:00:00,2017-09-22,6.96667,"After"
"NeuseImp1",17:15:00,2017-09-22,7.02,"After"
"NeuseImp1",17:30:00,2017-09-22,7.06333,"After"
"NeuseImp1",17:45:00,2017-09-22,7.08333,"After"
"NeuseImp1",18:00:00,2017-09-22,7.13333,"After"
"NeuseImp1",18:15:00,2017-09-22,7.15,"After"
"NeuseImp1",18:30:00,2017-09-22,7.18333,"After"
"NeuseImp1",18:45:00,2017-09-22,7.18333,"After"
"NeuseImp1",19:00:00,2017-09-22,7.17,"After"
"NeuseImp1",19:15:00,2017-09-22,7.16333,"After"
"NeuseImp1",19:30:00,2017-09-22,7.18333,"After"
"NeuseImp1",19:45:00,2017-09-22,7.19333,"After"
"NeuseImp1",20:00:00,2017-09-22,7.19,"After"
"NeuseImp1",20:15:00,2017-09-22,7.2,"After"
"NeuseImp1",20:30:00,2017-09-22,7.20333,"After"
"NeuseImp1",20:45:00,2017-09-22,7.19,"After"
"NeuseImp1",21:00:00,2017-09-22,7.2,"After"
"NeuseImp1",21:15:00,2017-09-22,7.20667,"After"
"NeuseImp1",21:30:00,2017-09-22,7.20333,"After"
"NeuseImp1",21:45:00,2017-09-22,7.18,"After"
"NeuseImp1",22:00:00,2017-09-22,7.18333,"After"
"NeuseImp1",22:15:00,2017-09-22,7.15667,"After"
"NeuseImp1",22:30:00,2017-09-22,7.15333,"After"
"NeuseImp1",22:45:00,2017-09-22,7.13,"After"
"NeuseImp1",23:00:00,2017-09-22,7.08,"After"
"NeuseImp1",23:15:00,2017-09-22,7.06,"After"
