"Date","Upstream1_MinDO","Location.x","Impoundment1_MinDO","Location.y","Diff","TimeStamp"
2017-09-22,6.52,"Upstream1",6.27667,"Impoundment1",0.243329999999999,"After"
2017-09-23,6.42667,"Upstream1",6.17667,"Impoundment1",0.25,"After"
2017-09-24,6.41,"Upstream1",5.96667,"Impoundment1",0.44333,"After"
2017-09-25,6.35667,"Upstream1",5.74,"Impoundment1",0.61667,"After"
2017-09-26,6.24333,"Upstream1",6.06,"Impoundment1",0.183330000000001,"After"
2017-09-27,6.37333,"Upstream1",5.88,"Impoundment1",0.49333,"After"
2017-09-28,5.92,"Upstream1",4.69667,"Impoundment1",1.22333,"After"
2017-09-29,5.87,"Upstream1",4.25,"Impoundment1",1.62,"After"
2017-09-30,6.45333,"Upstream1",4.76667,"Impoundment1",1.68666,"After"
2017-10-01,6.91667,"Upstream1",5.89667,"Impoundment1",1.02,"After"
2017-10-02,7.04333,"Upstream1",6,"Impoundment1",1.04333,"After"
2017-10-03,7.08333,"Upstream1",6.33,"Impoundment1",0.75333,"After"
2017-10-04,7.1,"Upstream1",7.20667,"Impoundment1",-0.10667,"After"
2017-10-05,6.97333,"Upstream1",7,"Impoundment1",-0.0266700000000002,"After"
2017-10-06,6.99333,"Upstream1",6.86333,"Impoundment1",0.13,"After"
2017-10-07,6.92667,"Upstream1",6.71333,"Impoundment1",0.21334,"After"
2017-10-08,6.65667,"Upstream1",6.40333,"Impoundment1",0.25334,"After"
2017-10-09,6.61,"Upstream1",6.01667,"Impoundment1",0.59333,"After"
2017-10-10,6.25,"Upstream1",5.72667,"Impoundment1",0.52333,"After"
2017-10-11,6.41333,"Upstream1",4.31667,"Impoundment1",2.09666,"After"
2017-10-12,6.38,"Upstream1",4.12,"Impoundment1",2.26,"After"
2017-10-13,6.59667,"Upstream1",6.35333,"Impoundment1",0.24334,"After"
2017-10-14,6.64667,"Upstream1",6.80333,"Impoundment1",-0.15666,"After"
2017-10-15,6.77667,"Upstream1",6.77333,"Impoundment1",0.00334000000000056,"After"
2017-10-16,6.57,"Upstream1",6.53333,"Impoundment1",0.03667,"After"
