"Date","Upstream1_MinDO","Location.x","Impoundment1_MinDO","Location.y","Diff","TimeStamp"
2013-12-14,10.9867,"Upstream1",11.16,"Impoundment1",-0.173299999999999,"Before"
2013-12-15,10.6433,"Upstream1",10.6033,"Impoundment1",0.0399999999999991,"Before"
2013-12-16,10.42,"Upstream1",10.4067,"Impoundment1",0.0132999999999992,"Before"
2013-12-17,10.59,"Upstream1",10.6933,"Impoundment1",-0.103300000000001,"Before"
2013-12-18,10.4633,"Upstream1",10.5067,"Impoundment1",-0.0434000000000001,"Before"
2013-12-19,10.7233,"Upstream1",10.86,"Impoundment1",-0.136699999999999,"Before"
2013-12-20,10.5767,"Upstream1",10.8567,"Impoundment1",-0.279999999999999,"Before"
2013-12-21,10.24,"Upstream1",10.1567,"Impoundment1",0.0832999999999995,"Before"
2013-12-22,9.74,"Upstream1",9.25333,"Impoundment1",0.48667,"Before"
2013-12-23,8.79667,"Upstream1",8.54,"Impoundment1",0.256670000000002,"Before"
2013-12-24,9.13333,"Upstream1",8.48,"Impoundment1",0.65333,"Before"
2013-12-25,10.4733,"Upstream1",9.50667,"Impoundment1",0.96663,"Before"
2013-12-26,10.8567,"Upstream1",10.92,"Impoundment1",-0.0632999999999999,"Before"
2013-12-27,10.6767,"Upstream1",10.85,"Impoundment1",-0.173299999999999,"Before"
2013-12-28,10.7033,"Upstream1",10.9833,"Impoundment1",-0.279999999999999,"Before"
2013-12-29,10.21,"Upstream1",9.47,"Impoundment1",0.74,"Before"
2013-12-30,10.19,"Upstream1",0,"Impoundment1",10.19,"Before"
2013-12-31,11.3533,"Upstream1",0.01,"Impoundment1",11.3433,"Before"
2014-01-01,11.7467,"Upstream1",0.166667,"Impoundment1",11.580033,"Before"
2014-01-02,11.7967,"Upstream1",11.2,"Impoundment1",0.5967,"Before"
2014-01-03,11.7667,"Upstream1",9.69,"Impoundment1",2.0767,"Before"
2014-01-04,12.2667,"Upstream1",10.17,"Impoundment1",2.0967,"Before"
2014-01-05,12.2733,"Upstream1",5.41667,"Impoundment1",6.85663,"Before"
2014-01-06,11.83,"Upstream1",5.21333,"Impoundment1",6.61667,"Before"
2014-01-07,11.8333,"Upstream1",0.206667,"Impoundment1",11.626633,"Before"
2014-01-08,12.3567,"Upstream1",NA,NA,NA,"Before"
2014-01-09,6.38,"Upstream1",NA,NA,NA,"Before"
2014-01-10,0,"Upstream1",NA,NA,NA,"Before"
2014-01-11,4.5,"Upstream1",NA,NA,NA,"Before"
2014-01-12,0.00666667,"Upstream1",NA,NA,NA,"Before"
2014-01-13,0,"Upstream1",NA,NA,NA,"Before"
2014-01-14,12.1067,"Upstream1",NA,NA,NA,"Before"
2014-01-15,12.2767,"Upstream1",NA,NA,NA,"Before"
2014-01-16,12.4067,"Upstream1",NA,NA,NA,"Before"
2014-01-17,12.5133,"Upstream1",NA,NA,NA,"Before"
2014-01-18,12.52,"Upstream1",NA,NA,NA,"Before"
2014-01-19,12.65,"Upstream1",NA,NA,NA,"Before"
2014-01-20,12.6667,"Upstream1",NA,NA,NA,"Before"
2014-01-21,12.5133,"Upstream1",NA,NA,NA,"Before"
2014-01-22,10.6567,"Upstream1",NA,NA,NA,"Before"
2014-01-23,0.03,"Upstream1",NA,NA,NA,"Before"
2014-01-24,11.1667,"Upstream1",NA,NA,NA,"Before"
2014-01-25,10.9533,"Upstream1",NA,NA,NA,"Before"
2014-01-26,11.5433,"Upstream1",12.27,"Impoundment1",-0.726699999999999,"Before"
2014-01-27,12.16,"Upstream1",11.7733,"Impoundment1",0.386699999999999,"Before"
2014-01-28,11.9367,"Upstream1",11.4433,"Impoundment1",0.493399999999999,"Before"
2014-01-29,12.4767,"Upstream1",12.36,"Impoundment1",0.1167,"Before"
2014-01-30,12.6367,"Upstream1",12.6833,"Impoundment1",-0.0465999999999998,"Before"
2014-01-31,12.7167,"Upstream1",12.6233,"Impoundment1",0.093399999999999,"Before"
2014-02-01,12.5667,"Upstream1",12.2767,"Impoundment1",0.290000000000001,"Before"
2014-02-02,12.3033,"Upstream1",11.75,"Impoundment1",0.5533,"Before"
2014-02-03,12.0633,"Upstream1",11.0833,"Impoundment1",0.98,"Before"
2014-02-04,12.0067,"Upstream1",11.1033,"Impoundment1",0.9034,"Before"
2014-02-05,11.97,"Upstream1",11.4667,"Impoundment1",0.503300000000001,"Before"
2014-02-06,12.2133,"Upstream1",11.59,"Impoundment1",0.6233,"Before"
2014-02-07,12.4067,"Upstream1",11.8633,"Impoundment1",0.5434,"Before"
2014-02-08,12.13,"Upstream1",11.16,"Impoundment1",0.970000000000001,"Before"
2014-02-09,12.08,"Upstream1",11.4533,"Impoundment1",0.6267,"Before"
2014-02-10,11.97,"Upstream1",11.6167,"Impoundment1",0.353300000000001,"Before"
2014-02-11,12.4633,"Upstream1",12.08,"Impoundment1",0.3833,"Before"
2014-02-12,12.6367,"Upstream1",12.3667,"Impoundment1",0.27,"Before"
2014-02-13,12.53,"Upstream1",12.52,"Impoundment1",0.00999999999999979,"Before"
2014-02-14,12.55,"Upstream1",11.76,"Impoundment1",0.790000000000001,"Before"
2014-02-15,12.5433,"Upstream1",11.77,"Impoundment1",0.773300000000001,"Before"
2014-02-16,12.6867,"Upstream1",10.9167,"Impoundment1",1.77,"Before"
2014-02-17,12.7333,"Upstream1",11.2233,"Impoundment1",1.51,"Before"
2014-02-18,12.7567,"Upstream1",12.42,"Impoundment1",0.3367,"Before"
2014-02-19,13.2367,"Upstream1",12.89,"Impoundment1",0.3467,"Before"
2014-02-20,13.2167,"Upstream1",10.76,"Impoundment1",2.4567,"Before"
2014-02-21,12.6167,"Upstream1",0.51,"Impoundment1",12.1067,"Before"
2014-02-22,12.7167,"Upstream1",0,"Impoundment1",12.7167,"Before"
2014-02-23,12.62,"Upstream1",NA,NA,NA,"Before"
2014-02-24,12.5867,"Upstream1",NA,NA,NA,"Before"
2014-02-25,12.6367,"Upstream1",0.00666667,"Impoundment1",12.63003333,"Before"
2014-02-26,11.8667,"Upstream1",NA,NA,NA,"Before"
2014-02-27,11.61,"Upstream1",0.0166667,"Impoundment1",11.5933333,"Before"
2014-02-28,11.4367,"Upstream1",0.01,"Impoundment1",11.4267,"Before"
2014-03-01,11.3933,"Upstream1",NA,NA,NA,"Before"
2014-03-02,11.13,"Upstream1",NA,NA,NA,"Before"
2014-03-03,11.07,"Upstream1",NA,NA,NA,"Before"
2014-03-04,11.4067,"Upstream1",NA,NA,NA,"Before"
2014-03-05,11.0633,"Upstream1",NA,NA,NA,"Before"
2014-03-06,10.9,"Upstream1",NA,NA,NA,"Before"
2014-03-07,11.8833,"Upstream1",NA,NA,NA,"Before"
2014-03-08,11.7967,"Upstream1",NA,NA,NA,"Before"
2014-03-09,11.73,"Upstream1",NA,NA,NA,"Before"
