"Date","Upstream2_MinDO","Location.x","Impoundment1_MinDO","Location.y","Diff"
2013-10-11,5.90667,"Upstream2",NA,NA,NA
2013-10-12,3.16,"Upstream2",NA,NA,NA
2013-10-13,0.95,"Upstream2",NA,NA,NA
2013-10-14,0.12,"Upstream2",NA,NA,NA
2013-10-15,0.01,"Upstream2",NA,NA,NA
2013-10-16,0,"Upstream2",NA,NA,NA
2013-10-19,7.47,"Upstream2",NA,NA,NA
2013-10-20,7.29,"Upstream2",NA,NA,NA
2013-10-21,7.68,"Upstream2",NA,NA,NA
2013-10-22,7.59333,"Upstream2",NA,NA,NA
2013-10-23,7.46667,"Upstream2",NA,NA,NA
2013-10-24,7.55667,"Upstream2",NA,NA,NA
2013-10-25,7.90667,"Upstream2",NA,NA,NA
2013-10-26,7.69,"Upstream2",NA,NA,NA
2013-10-27,7.82333,"Upstream2",NA,NA,NA
2013-10-28,8.46,"Upstream2",NA,NA,NA
2013-10-29,8.23,"Upstream2",NA,NA,NA
2013-10-30,8.07333,"Upstream2",NA,NA,NA
2013-10-31,7.94,"Upstream2",NA,NA,NA
2013-11-01,7.42667,"Upstream2",NA,NA,NA
2013-11-02,6.72667,"Upstream2",NA,NA,NA
2013-11-03,6.76,"Upstream2",NA,NA,NA
2013-11-04,7.80333,"Upstream2",NA,NA,NA
2013-11-05,8.39667,"Upstream2",NA,NA,NA
2013-11-06,8.44333,"Upstream2",NA,NA,NA
2013-11-07,7.85333,"Upstream2",NA,NA,NA
2013-11-08,7.98667,"Upstream2",NA,NA,NA
2013-11-09,8.78667,"Upstream2",NA,NA,NA
2013-11-10,8.69667,"Upstream2",NA,NA,NA
2013-11-11,8.54333,"Upstream2",NA,NA,NA
2013-11-12,8.62333,"Upstream2",NA,NA,NA
2013-11-13,8.28,"Upstream2",NA,NA,NA
2013-11-14,9.33667,"Upstream2",NA,NA,NA
2013-11-15,9.36,"Upstream2",NA,NA,NA
2013-11-16,8.56333,"Upstream2",NA,NA,NA
2013-11-17,7.98333,"Upstream2",NA,NA,NA
2013-11-18,7.72333,"Upstream2",NA,NA,NA
2013-11-19,8.03667,"Upstream2",NA,NA,NA
2013-11-20,9.01667,"Upstream2",NA,NA,NA
2013-11-21,9.18,"Upstream2",NA,NA,NA
2013-11-22,8.75667,"Upstream2",NA,NA,NA
2013-11-23,8.12,"Upstream2",NA,NA,NA
2013-11-24,8.67667,"Upstream2",NA,NA,NA
2013-11-25,10.1933,"Upstream2",NA,NA,NA
2013-11-26,9.96667,"Upstream2",NA,NA,NA
2013-11-27,9.09667,"Upstream2",NA,NA,NA
2013-11-28,9.65667,"Upstream2",NA,NA,NA
2013-11-29,10.4267,"Upstream2",NA,NA,NA
2013-11-30,10.5233,"Upstream2",NA,NA,NA
2013-12-01,10.3467,"Upstream2",NA,NA,NA
2013-12-02,9.72333,"Upstream2",NA,NA,NA
2013-12-03,9.59,"Upstream2",NA,NA,NA
2013-12-04,9.76,"Upstream2",NA,NA,NA
2013-12-05,9.38667,"Upstream2",NA,NA,NA
2013-12-06,8.96667,"Upstream2",NA,NA,NA
2013-12-07,8.52333,"Upstream2",NA,NA,NA
2013-12-08,9.40667,"Upstream2",NA,NA,NA
2013-12-09,10.1233,"Upstream2",NA,NA,NA
2013-12-10,9.12667,"Upstream2",NA,NA,NA
2013-12-11,9.83,"Upstream2",NA,NA,NA
2013-12-12,10.4167,"Upstream2",NA,NA,NA
2013-12-13,10.93,"Upstream2",NA,NA,NA
