"site","Time","Date","Dissolved Oxygen","TimeStamp"
"NeuseUp1",00:00:00,2017-09-22,7.53,"After"
"NeuseUp1",00:15:00,2017-09-22,7.49,"After"
"NeuseUp1",00:30:00,2017-09-22,7.45667,"After"
"NeuseUp1",00:45:00,2017-09-22,7.41333,"After"
"NeuseUp1",01:00:00,2017-09-22,7.36,"After"
"NeuseUp1",01:15:00,2017-09-22,7.3,"After"
"NeuseUp1",01:30:00,2017-09-22,7.24,"After"
"NeuseUp1",01:45:00,2017-09-22,7.17333,"After"
"NeuseUp1",02:00:00,2017-09-22,7.12,"After"
"NeuseUp1",02:15:00,2017-09-22,7.06333,"After"
"NeuseUp1",02:30:00,2017-09-22,7.01333,"After"
"NeuseUp1",02:45:00,2017-09-22,6.95333,"After"
"NeuseUp1",03:00:00,2017-09-22,6.91333,"After"
"NeuseUp1",03:15:00,2017-09-22,6.87,"After"
"NeuseUp1",03:30:00,2017-09-22,6.84,"After"
"NeuseUp1",03:45:00,2017-09-22,6.79333,"After"
"NeuseUp1",04:00:00,2017-09-22,6.76,"After"
"NeuseUp1",04:15:00,2017-09-22,6.73,"After"
"NeuseUp1",04:30:00,2017-09-22,6.68,"After"
"NeuseUp1",04:45:00,2017-09-22,6.66667,"After"
"NeuseUp1",05:00:00,2017-09-22,6.62,"After"
"NeuseUp1",05:15:00,2017-09-22,6.59,"After"
"NeuseUp1",05:30:00,2017-09-22,6.58,"After"
"NeuseUp1",05:45:00,2017-09-22,6.58333,"After"
"NeuseUp1",06:00:00,2017-09-22,6.57,"After"
"NeuseUp1",06:15:00,2017-09-22,6.56333,"After"
"NeuseUp1",06:30:00,2017-09-22,6.55,"After"
"NeuseUp1",06:45:00,2017-09-22,6.52,"After"
"NeuseUp1",07:00:00,2017-09-22,6.54667,"After"
"NeuseUp1",07:15:00,2017-09-22,6.54667,"After"
"NeuseUp1",07:30:00,2017-09-22,6.54,"After"
"NeuseUp1",07:45:00,2017-09-22,6.54,"After"
"NeuseUp1",08:00:00,2017-09-22,6.53667,"After"
"NeuseUp1",08:15:00,2017-09-22,6.53667,"After"
"NeuseUp1",08:30:00,2017-09-22,6.53667,"After"
"NeuseUp1",08:45:00,2017-09-22,6.54,"After"
"NeuseUp1",09:00:00,2017-09-22,6.54,"After"
"NeuseUp1",09:15:00,2017-09-22,6.54333,"After"
"NeuseUp1",09:30:00,2017-09-22,6.54667,"After"
"NeuseUp1",09:45:00,2017-09-22,6.55,"After"
"NeuseUp1",10:00:00,2017-09-22,6.54667,"After"
"NeuseUp1",10:15:00,2017-09-22,6.55333,"After"
"NeuseUp1",10:30:00,2017-09-22,6.56,"After"
"NeuseUp1",10:45:00,2017-09-22,6.56,"After"
"NeuseUp1",11:00:00,2017-09-22,6.56667,"After"
"NeuseUp1",11:15:00,2017-09-22,6.57333,"After"
"NeuseUp1",11:30:00,2017-09-22,6.57667,"After"
"NeuseUp1",11:45:00,2017-09-22,6.58333,"After"
"NeuseUp1",12:00:00,2017-09-22,6.58667,"After"
"NeuseUp1",12:15:00,2017-09-22,6.59,"After"
"NeuseUp1",12:30:00,2017-09-22,6.60333,"After"
"NeuseUp1",12:45:00,2017-09-22,6.60667,"After"
"NeuseUp1",13:00:00,2017-09-22,6.64333,"After"
"NeuseUp1",13:15:00,2017-09-22,6.66333,"After"
"NeuseUp1",13:30:00,2017-09-22,6.69333,"After"
"NeuseUp1",13:45:00,2017-09-22,6.71667,"After"
"NeuseUp1",14:00:00,2017-09-22,6.73667,"After"
"NeuseUp1",14:15:00,2017-09-22,6.76667,"After"
"NeuseUp1",14:30:00,2017-09-22,6.79,"After"
"NeuseUp1",14:45:00,2017-09-22,6.82,"After"
"NeuseUp1",15:00:00,2017-09-22,6.85333,"After"
"NeuseUp1",15:15:00,2017-09-22,6.89,"After"
"NeuseUp1",15:30:00,2017-09-22,6.91333,"After"
"NeuseUp1",15:45:00,2017-09-22,6.92667,"After"
"NeuseUp1",16:00:00,2017-09-22,6.97333,"After"
"NeuseUp1",16:15:00,2017-09-22,7.04333,"After"
