"Date","AvgDO","Site","TimeStamp","Location"
2017-09-22,7.02961791666667,"Upstream1","After","Upstream1"
2017-09-23,7.00645802083333,"Upstream1","After","Upstream1"
2017-09-24,6.942118125,"Upstream1","After","Upstream1"
2017-09-25,6.92350666666667,"Upstream1","After","Upstream1"
2017-09-26,6.81270833333333,"Upstream1","After","Upstream1"
2017-09-27,6.93670145833333,"Upstream1","After","Upstream1"
2017-09-28,6.53781260416667,"Upstream1","After","Upstream1"
2017-09-29,6.46034739583333,"Upstream1","After","Upstream1"
2017-09-30,6.9753128125,"Upstream1","After","Upstream1"
2017-10-01,7.37770770833333,"Upstream1","After","Upstream1"
2017-10-02,7.3973265625,"Upstream1","After","Upstream1"
2017-10-03,7.45006947916667,"Upstream1","After","Upstream1"
2017-10-04,7.408993125,"Upstream1","After","Upstream1"
2017-10-05,7.28972208333333,"Upstream1","After","Upstream1"
2017-10-06,7.27517385416667,"Upstream1","After","Upstream1"
2017-10-07,7.21177114583333,"Upstream1","After","Upstream1"
2017-10-08,6.9147225,"Upstream1","After","Upstream1"
2017-10-09,6.776805625,"Upstream1","After","Upstream1"
2017-10-10,6.63583322916667,"Upstream1","After","Upstream1"
2017-10-11,6.71065958333333,"Upstream1","After","Upstream1"
2017-10-12,6.68590291666667,"Upstream1","After","Upstream1"
2017-10-13,6.9403125,"Upstream1","After","Upstream1"
2017-10-14,7.06843791666667,"Upstream1","After","Upstream1"
2017-10-15,7.133055625,"Upstream1","After","Upstream1"
2017-10-16,6.85930572916667,"Upstream1","After","Upstream1"
2017-10-17,7.25774302083333,"Upstream1","After","Upstream1"
2017-10-18,7.64701364583333,"Upstream1","After","Upstream1"
2017-10-19,7.6004859375,"Upstream1","After","Upstream1"
2017-10-20,7.55076395833333,"Upstream1","After","Upstream1"
2017-10-21,7.46652770833333,"Upstream1","After","Upstream1"
2017-10-22,7.45638927083333,"Upstream1","After","Upstream1"
2017-10-23,7.51611114583333,"Upstream1","After","Upstream1"
2017-10-24,7.53163177083333,"Upstream1","After","Upstream1"
2017-10-25,7.53007,"Upstream1","After","Upstream1"
2017-10-26,7.683993125,"Upstream1","After","Upstream1"
2017-10-27,7.83138864583333,"Upstream1","After","Upstream1"
2017-10-28,7.77864614583333,"Upstream1","After","Upstream1"
2017-10-29,7.87701333333333,"Upstream1","After","Upstream1"
2017-10-30,8.111145625,"Upstream1","After","Upstream1"
2017-10-31,8.17541677083333,"Upstream1","After","Upstream1"
2017-11-01,8.02006979166667,"Upstream1","After","Upstream1"
2017-11-02,7.87645854166667,"Upstream1","After","Upstream1"
2017-11-03,8.1469096875,"Upstream1","After","Upstream1"
2017-11-04,7.927743125,"Upstream1","After","Upstream1"
2017-11-05,8.127569375,"Upstream1","After","Upstream1"
