"site","Time","Date","Dissolved.Oxygen","TimeStamp"
"NeuseUp1","05:45:00","2018-07-25",3.87667,"After"
"NeuseUp1","06:00:00","2018-07-25",3.80333,"After"
"NeuseUp1","06:15:00","2018-07-25",3.56667,"After"
"NeuseUp1","06:30:00","2018-07-25",3.87333,"After"
"NeuseUp1","06:45:00","2018-07-25",3.75333,"After"
"NeuseUp1","07:00:00","2018-07-25",3.89,"After"
"NeuseUp1","07:15:00","2018-07-25",3.93,"After"
"NeuseUp1","07:30:00","2018-07-25",3.88667,"After"
"NeuseUp1","07:45:00","2018-07-25",3.89667,"After"
"NeuseUp1","09:15:00","2018-07-25",3.96,"After"
"NeuseUp1","09:45:00","2018-07-25",3.89,"After"
"NeuseUp1","10:00:00","2018-07-25",3.78667,"After"
"NeuseUp1","10:15:00","2018-07-25",3.74333,"After"
"NeuseUp1","11:00:00","2018-07-25",3.85667,"After"
"NeuseUp1","11:15:00","2018-07-25",3.61,"After"
"NeuseUp1","11:30:00","2018-07-25",3.64333,"After"
"NeuseUp1","11:45:00","2018-07-25",3.19,"After"
"NeuseUp1","12:00:00","2018-07-25",3.29333,"After"
"NeuseUp1","12:15:00","2018-07-25",3.40333,"After"
"NeuseUp1","12:30:00","2018-07-25",3.78,"After"
"NeuseUp1","13:00:00","2018-07-25",3.72333,"After"
"NeuseUp1","13:15:00","2018-07-25",3.64667,"After"
"NeuseUp1","13:30:00","2018-07-25",3.45333,"After"
"NeuseUp1","13:45:00","2018-07-25",3.40333,"After"
"NeuseUp1","14:00:00","2018-07-25",3.60667,"After"
"NeuseUp1","14:15:00","2018-07-25",3.57667,"After"
"NeuseUp1","14:30:00","2018-07-25",3.15333,"After"
"NeuseUp1","14:45:00","2018-07-25",3.31,"After"
"NeuseUp1","15:00:00","2018-07-25",3.64333,"After"
"NeuseUp1","15:15:00","2018-07-25",3.55333,"After"
"NeuseUp1","15:30:00","2018-07-25",3.55,"After"
"NeuseUp1","15:45:00","2018-07-25",3.50333,"After"
"NeuseUp1","16:00:00","2018-07-25",3.49667,"After"
"NeuseUp1","16:15:00","2018-07-25",2.91667,"After"
